Numero,Sesso,Data di Nascita,Ora Nascita,Comune Nascita,Sigla Provincia o Stato Nascita,Comune Residenza,Sigla Provincia o Stato Residenza,Data Atto,Giorno Nascita,Giorno Settimana,Mese Nascita,Fascia Oraria
479,M,2024-10-11,12:22,Foggia,FG,Keur Massar Cite Gendarmerie,SN,2024-10-11,11,Venerd ,Ottobre,Pomeriggio (12:00 - 17:59)
480,M,2024-10-14,00:59,Foggia,FG, Orta Nova,FG,2024-10-11,14,Luned ,Ottobre,Notte (00:00 - 05:59)
481,M,2024-10-15,04:01,Foggia,FG,Manfredonia,FG,2024-10-11,15,Marted ,Ottobre,Notte (00:00 - 05:59)
482,F,2024-10-14,08:48,Foggia,FG,Vico Del Gargano,FG,2024-10-11,14,Luned ,Ottobre,Mattina (06:00 - 11:59)
483,F,2024-10-14,16:56,Foggia,FG,Lucera,FG,2024-10-14,14,Luned ,Ottobre,Pomeriggio (12:00 - 17:59)
484,F,2024-10-16,13:51,Foggia,FG,Cerignola,FG,2024-10-14,16,Mercoled ,Ottobre,Pomeriggio (12:00 - 17:59)
485,F,2024-10-15,03:38,Foggia,FG,Canosa Di Puglia,BT,2024-10-14,15,Marted ,Ottobre,Notte (00:00 - 05:59)
486,M,2024-10-15,11:03,Foggia,FG,Vico Del Gargano,FG,2024-10-15,15,Marted ,Ottobre,Mattina (06:00 - 11:59)
487,F,2024-10-16,23:36,Foggia,FG,Lucera,FG,2024-10-15,16,Mercoled ,Ottobre,Sera (18:00 - 23:59)
488,M,2024-10-16,10:34,Foggia,FG,Manfredonia,FG,2024-10-15,16,Mercoled ,Ottobre,Mattina (06:00 - 11:59)
489,F,2024-10-18,22:46,Foggia,FG,San Marco In Lamis,FG,2024-10-17,18,Venerd ,Ottobre,Sera (18:00 - 23:59)
490,F,2024-10-19,15:45,Foggia,FG,San Severo,FG,2024-10-17,19,Sabato,Ottobre,Pomeriggio (12:00 - 17:59)
491,M,2024-10-14,11:50,Foggia,FG,Orta Nova,FG,2024-10-17,14,Luned ,Ottobre,Mattina (06:00 - 11:59)
492,M,2024-10-21,11:29,Foggia,FG,Orta Nova,FG,2024-10-18,21,Luned ,Ottobre,Mattina (06:00 - 11:59)
493,M,2024-10-20,22:30,Foggia,FG,Lucera,FG,2024-10-18,20,Domenica,Ottobre,Sera (18:00 - 23:59)
494,M,2024-10-22,00:10,Foggia,FG,Manfredonia,FG,2024-10-18,22,Marted ,Ottobre,Notte (00:00 - 05:59)
495,F,2024-10-22,03:33,Foggia,FG,Martina Franca,TA,2024-10-18,22,Marted ,Ottobre,Notte (00:00 - 05:59)
496,M,2024-10-22,15:25,Foggia,FG,Castelluccio Dei Sauri,FG,2024-10-21,22,Marted ,Ottobre,Pomeriggio (12:00 - 17:59)
497,M,2024-10-23,06:27,Foggia,FG, Barletta,BT,2024-10-21,23,Mercoled ,Ottobre,Mattina (06:00 - 11:59)
498,M,2024-10-22,04:53,Foggia,FG,San Nicandro Garganico,FG,2024-10-22,22,Marted ,Ottobre,Notte (00:00 - 05:59)
499,M,2024-10-24,23:02,Foggia,FG, Bovino,FG,2024-10-22,24,Gioved ,Ottobre,Sera (18:00 - 23:59)
500,F,2024-10-24,18:30,Foggia,FG,Lucera,FG,2024-10-22,24,Gioved ,Ottobre,Sera (18:00 - 23:59)
501,F,2024-10-27,00:47,Foggia,FG,Castelluccio Dei Sauri,FG,2024-10-22,27,Domenica,Ottobre,Notte (00:00 - 05:59)
502,F,2024-10-25,11:48,Foggia,FG, Lucera,FG,2024-10-23,25,Venerd ,Ottobre,Mattina (06:00 - 11:59)
503,M,2024-10-27,15:03,Foggia,FG,San Severo,FG,2024-10-23,27,Domenica,Ottobre,Pomeriggio (12:00 - 17:59)
504,F,2024-10-26,09:50,Foggia,FG,Carapelle,FG,2024-10-25,26,Sabato,Ottobre,Mattina (06:00 - 11:59)
505,M,2024-10-27,17:30,Foggia,FG,Cerignola,FG,2024-10-25,27,Domenica,Ottobre,Pomeriggio (12:00 - 17:59)
506,M,2024-10-29,19:50,Foggia,FG,Manfredonia,FG,2024-10-25,29,Marted ,Ottobre,Sera (18:00 - 23:59)
507,M,2024-10-28,19:10,Foggia,FG,Stornarella,FG,2024-10-25,28,Luned ,Ottobre,Sera (18:00 - 23:59)
508,M,2024-10-28,16:52,Foggia,FG,Milano,MI,2024-10-28,28,Luned ,Ottobre,Pomeriggio (12:00 - 17:59)
509,F,2024-10-29,16:35,Foggia,FG,Manfredonia,FG,2024-10-28,29,Marted ,Ottobre,Pomeriggio (12:00 - 17:59)
510,M,2024-10-28,10:00,Foggia,FG,Orta Nova,FG,2024-10-28,28,Luned ,Ottobre,Mattina (06:00 - 11:59)
511,M,2024-10-31,05:27,Foggia,FG,Torremaggiore,FG,2024-10-28,31,Gioved ,Ottobre,Notte (00:00 - 05:59)
512,M,2024-02-20,Orario Non Disponibile,Foggia,FG,Vieste,FG,2024-10-28,20,Marted ,Febbraio,Non Disponibile
513,M,2024-10-29,12:24,Foggia,FG,Cerignola,FG,2024-10-30,29,Marted ,Ottobre,Pomeriggio (12:00 - 17:59)
514,F,2024-10-30,00:48,Foggia,FG,Orta Nova,FG,2024-10-30,30,Mercoled ,Ottobre,Notte (00:00 - 05:59)
515,M,2024-11-03,11:07,Foggia,FG,Troia,FG,2024-10-30,3,Domenica,Novembre,Mattina (06:00 - 11:59)
516,F,2024-11-02,09:33,Foggia,FG,Poggio Imperiale,FG,2024-10-30,2,Sabato,Novembre,Mattina (06:00 - 11:59)
517,F,2024-11-01,16:29,Foggia,FG,Ascoli Satriano,FG,2024-10-31,1,Venerd ,Novembre,Pomeriggio (12:00 - 17:59)
518,F,2024-11-05,11:44,Foggia,FG,Carpino,FG,2024-10-31,5,Marted ,Novembre,Mattina (06:00 - 11:59)
519,F,2024-11-04,15:35,Foggia,FG,Non Disponibile,Non Disponibile,2024-10-31,4,Luned ,Novembre,Pomeriggio (12:00 - 17:59)
520,F,2024-11-01,03:42,Foggia,FG,Deliceto,FG,2024-10-31,1,Venerd ,Novembre,Notte (00:00 - 05:59)
521,M,2024-11-04,09:53,Foggia,FG,Lucera,FG,2024-10-31,4,Luned ,Novembre,Mattina (06:00 - 11:59)
522,M,2024-11-07,18:25,Foggia,FG,Canosa Di Puglia,BT,2024-11-04,7,Gioved ,Novembre,Sera (18:00 - 23:59)
523,F,2024-11-09,23:36,Foggia,FG,Serracapriola,FG,2024-11-04,9,Sabato,Novembre,Sera (18:00 - 23:59)
524,F,2024-11-11,06:58,Foggia,FG,Bovino,FG,2024-11-04,11,Luned ,Novembre,Mattina (06:00 - 11:59)
525,M,2024-11-13,09:10,Foggia,FG,Rodi Garganico,FG,2024-11-06,13,Mercoled ,Novembre,Mattina (06:00 - 11:59)
526,F,2024-11-13,05:03,Foggia,FG,Stornara,FG,2024-11-06,13,Mercoled ,Novembre,Notte (00:00 - 05:59)
527,M,2024-11-09,12:55,Foggia,FG,Orta Nova,FG,2024-11-06,9,Sabato,Novembre,Pomeriggio (12:00 - 17:59)
528,F,2024-11-13,13:47,Foggia,FG,Ascoli Satriano,FG,2024-11-07,13,Mercoled ,Novembre,Pomeriggio (12:00 - 17:59)
529,F,2024-11-12,12:35,Foggia,FG,Stornarella,FG,2024-11-08,12,Marted ,Novembre,Pomeriggio (12:00 - 17:59)
530,F,2024-11-10,17:56,Foggia,FG,Lucera,FG,2024-11-11,10,Domenica,Novembre,Pomeriggio (12:00 - 17:59)
531,M,2024-11-14,12:35,Foggia,FG,Lucera,FG,2024-11-12,14,Gioved ,Novembre,Pomeriggio (12:00 - 17:59)
532,M,2024-11-15,21:32,Foggia,FG,Milano,MI,2024-11-13,15,Venerd ,Novembre,Sera (18:00 - 23:59)
533,M,2024-11-13,23:38,Foggia,FG,Lucera,FG,2024-11-14,13,Mercoled ,Novembre,Sera (18:00 - 23:59)
534,M,2024-11-18,03:29,Foggia,FG,Ascoli Satriano,FG,2024-11-14,18,Luned ,Novembre,Notte (00:00 - 05:59)
535,F,2024-11-16,19:08,Foggia,FG,Stornarella,FG,2024-11-14,16,Sabato,Novembre,Sera (18:00 - 23:59)
536,M,2024-11-14,05:35,Foggia,FG,Cerignola,FG,2024-11-14,14,Gioved ,Novembre,Notte (00:00 - 05:59)
537,M,2024-11-15,23:54,Foggia,FG,Montella,AV,2024-11-15,15,Venerd ,Novembre,Sera (18:00 - 23:59)
538,M,2024-11-16,10:50,Foggia,FG,Sassuolo,MO,2024-11-15,16,Sabato,Novembre,Mattina (06:00 - 11:59)
539,M,2024-11-14,23:02,Foggia,FG,Lucera,FG,2024-11-18,14,Gioved ,Novembre,Sera (18:00 - 23:59)
540,F,2024-11-16,10:02,Foggia,FG,Cerignola,FG,2024-11-18,16,Sabato,Novembre,Mattina (06:00 - 11:59)
541,F,2024-11-18,11:22,Foggia,FG,Torremaggiore,FG,2024-11-18,18,Luned ,Novembre,Mattina (06:00 - 11:59)
542,F,2024-11-18,13:36,Foggia,FG,Orsara Di Puglia,FG,2024-11-18,18,Luned ,Novembre,Pomeriggio (12:00 - 17:59)
543,M,2024-11-15,17:09,Foggia,FG,Ascoli Satriano,FG,2024-11-18,15,Venerd ,Novembre,Pomeriggio (12:00 - 17:59)
544,M,2024-11-19,04:48,Foggia,FG,Ascoli Satriano,FG,2024-11-18,19,Marted ,Novembre,Notte (00:00 - 05:59)
545,F,2024-11-18,16:00,Foggia,FG,Orta Nova,FG,2024-11-18,18,Luned ,Novembre,Pomeriggio (12:00 - 17:59)
546,F,2024-11-17,09:56,Foggia,FG,Vico Del Gargano,FG,2024-11-18,17,Domenica,Novembre,Mattina (06:00 - 11:59)
547,F,2024-11-20,04:50,Foggia,FG,Torremaggiore,FG,2024-11-18,20,Mercoled ,Novembre,Notte (00:00 - 05:59)
548,M,2024-11-19,18:27,Foggia,FG,Carapelle,FG,2024-11-19,19,Marted ,Novembre,Sera (18:00 - 23:59)
549,M,2024-11-20,04:23,Foggia,FG,Carapelle,FG,2024-11-19,20,Mercoled ,Novembre,Notte (00:00 - 05:59)
550,M,2024-11-19,23:20,Foggia,FG,Carapelle,FG,2024-11-19,19,Marted ,Novembre,Sera (18:00 - 23:59)
551,F,2024-11-20,02:19,Foggia,FG,Torremaggiore,FG,2024-11-20,20,Mercoled ,Novembre,Notte (00:00 - 05:59)
552,M,2024-11-20,12:41,Foggia,FG,Lucera,FG,2024-11-20,20,Mercoled ,Novembre,Pomeriggio (12:00 - 17:59)
553,M,2024-11-19,10:11,Foggia,FG,Manfredonia,FG,2024-11-20,19,Marted ,Novembre,Mattina (06:00 - 11:59)
554,M,2024-11-21,11:18,Foggia,FG,San Severo,FG,2024-11-21,21,Gioved ,Novembre,Mattina (06:00 - 11:59)
555,M,2024-11-21,10:22,Foggia,FG,Non Disponibile,Non Disponibile,2024-11-21,21,Gioved ,Novembre,Mattina (06:00 - 11:59)
556,M,2024-11-21,10:20,Foggia,FG,Cerignola,FG,2024-11-21,21,Gioved ,Novembre,Mattina (06:00 - 11:59)
557,F,2024-11-23,11:23,Foggia,FG,Apricena,FG,2024-11-21,23,Sabato,Novembre,Mattina (06:00 - 11:59)
558,M,2024-11-22,09:59,Foggia,FG,Ascoli Satriano,FG,2024-11-21,22,Venerd ,Novembre,Mattina (06:00 - 11:59)
559,F,2024-11-23,03:16,Foggia,FG,Lucera,FG,2024-11-22,23,Sabato,Novembre,Notte (00:00 - 05:59)
560,M,2024-11-24,11:56,Foggia,FG,San Severo,FG,2024-11-22,24,Domenica,Novembre,Mattina (06:00 - 11:59)
561,M,2024-11-22,23:31,Foggia,FG,Non Disponibile,Non Disponibile,2024-11-22,22,Venerd ,Novembre,Sera (18:00 - 23:59)
562,F,2024-11-26,15:44,Foggia,FG,San Giovanni Rotondo,FG,2024-11-25,26,Marted ,Novembre,Pomeriggio (12:00 - 17:59)
563,M,2024-11-25,14:59,Foggia,FG,San Giovanni Rotondo,FG,2024-11-25,25,Luned ,Novembre,Pomeriggio (12:00 - 17:59)
564,M,2024-11-24,14:00,Foggia,FG, Lucera,FG,2024-11-25,24,Domenica,Novembre,Pomeriggio (12:00 - 17:59)
565,F,2024-11-24,08:44,Foggia,FG,Ordona,FG,2024-11-25,24,Domenica,Novembre,Mattina (06:00 - 11:59)
566,M,2024-11-25,18:05,Foggia,FG,Candela,FG,2024-11-25,25,Luned ,Novembre,Sera (18:00 - 23:59)
567,F,2024-11-26,16:33,Foggia,FG,Lesina,FG,2024-11-26,26,Marted ,Novembre,Pomeriggio (12:00 - 17:59)
568,F,2024-11-27,22:02,Foggia,FG,Ordona,FG,2024-11-26,27,Mercoled ,Novembre,Sera (18:00 - 23:59)
569,F,2024-11-25,10:18,Foggia,FG,Apricena,FG,2024-11-27,25,Luned ,Novembre,Mattina (06:00 - 11:59)
570,M,2024-11-29,08:35,Foggia,FG,Manfredonia,FG,2024-11-27,29,Venerd ,Novembre,Mattina (06:00 - 11:59)
571,F,2024-11-30,12:11,Foggia,FG,Cerignola,FG,2024-11-27,30,Sabato,Novembre,Pomeriggio (12:00 - 17:59)
572,M,2024-11-30,19:22,Foggia,FG,Castelnuovo Della Daunia,FG,2024-11-27,30,Sabato,Novembre,Sera (18:00 - 23:59)
573,M,2024-11-30,08:30,Foggia,FG,San Severo,FG,2024-11-27,30,Sabato,Novembre,Mattina (06:00 - 11:59)
574,F,2024-12-02,04:39,Foggia,FG,Apricena,FG,2024-11-28,2,Luned ,Dicembre,Notte (00:00 - 05:59)
575,M,2024-11-29,07:32,Foggia,FG,Troia,FG,2024-11-28,29,Venerd ,Novembre,Mattina (06:00 - 11:59)
576,M,2024-12-02,20:30,Foggia,FG,Canosa Di Puglia,BT,2024-11-28,2,Luned ,Dicembre,Sera (18:00 - 23:59)
577,M,2024-12-04,10:52,Foggia,FG,Vieste,FG,2024-12-02,4,Mercoled ,Dicembre,Mattina (06:00 - 11:59)
578,M,2024-12-02,15:45,Foggia,FG,Piacenza,PC,2024-12-02,2,Luned ,Dicembre,Pomeriggio (12:00 - 17:59)
579,F,2024-12-04,08:16,Foggia,FG,Ordona,FG,2024-12-02,4,Mercoled ,Dicembre,Mattina (06:00 - 11:59)
580,F,2024-12-03,19:16,Foggia,FG,Cerignola,FG,2024-12-02,3,Marted ,Dicembre,Sera (18:00 - 23:59)
581,F,2024-12-03,12:37,Foggia,FG,Lucera,FG,2024-12-03,3,Marted ,Dicembre,Pomeriggio (12:00 - 17:59)
582,M,2024-12-05,05:07,Foggia,FG,Manfredonia,FG,2024-12-03,5,Gioved ,Dicembre,Notte (00:00 - 05:59)
583,F,2024-12-06,20:38,Foggia,FG,Lucera,FG,2024-12-04,6,Venerd ,Dicembre,Sera (18:00 - 23:59)
584,M,2024-12-07,02:54,Foggia,FG,Andria,BT,2024-12-05,7,Sabato,Dicembre,Notte (00:00 - 05:59)
585,M,2024-12-09,15:46,Foggia,FG,Carapelle,FG,2024-12-05,9,Luned ,Dicembre,Pomeriggio (12:00 - 17:59)
586,M,2024-12-09,17:13,Foggia,FG,Monopoli,BA,2024-12-06,9,Luned ,Dicembre,Pomeriggio (12:00 - 17:59)
587,F,2024-12-08,19:14,Foggia,FG,Candela,FG,2024-12-06,8,Domenica,Dicembre,Sera (18:00 - 23:59)
588,M,2024-11-28,Orario Non Disponibile,Foggia,FG,Cerignola,FG,2024-12-06,28,Gioved ,Novembre,Non Disponibile
589,M,2024-12-09,12:09,Foggia,FG,Quarto,NA,2024-12-06,9,Luned ,Dicembre,Pomeriggio (12:00 - 17:59)
590,M,2024-10-06,Orario Non Disponibile,Taranto,TA,Elmenhorst/Lichtenh Agen,DE,2025-02-10,6,Domenica,Ottobre,Non Disponibile
591,M,2024-12-11,12:32,Foggia,FG,Volturino,FG,2024-12-09,11,Mercoled ,Dicembre,Pomeriggio (12:00 - 17:59)
592,M,2024-12-12,06:03,Foggia,FG,Lesina,FG,2024-12-10,12,Gioved ,Dicembre,Mattina (06:00 - 11:59)
593,F,2024-12-14,11:10,Foggia,FG,Manfredonia,FG,2024-12-10,14,Sabato,Dicembre,Mattina (06:00 - 11:59)
594,F,2024-12-13,16:15,Foggia,FG,Manfredonia,FG,2024-12-10,13,Venerd ,Dicembre,Pomeriggio (12:00 - 17:59)
595,F,2024-12-13,18:05,Foggia,FG,Lucera,FG,2024-12-10,13,Venerd ,Dicembre,Sera (18:00 - 23:59)
596,M,2024-12-16,03:14,Foggia,FG,Non Disponibile,Non Disponibile,2024-12-12,16,Luned ,Dicembre,Notte (00:00 - 05:59)
597,M,2024-12-15,16:41,Foggia,FG,Lucera,FG,2024-12-12,15,Domenica,Dicembre,Pomeriggio (12:00 - 17:59)
598,F,2024-12-16,10:00,Foggia,FG,Non Disponibile,Non Disponibile,2024-12-12,16,Luned ,Dicembre,Mattina (06:00 - 11:59)
599,M,2024-12-17,00:04,Foggia,FG,Torremaggiore,FG,2024-12-12,17,Marted ,Dicembre,Notte (00:00 - 05:59)
600,M,2024-12-17,14:51,Foggia,FG,Roma,RM,2024-12-12,17,Marted ,Dicembre,Pomeriggio (12:00 - 17:59)
601,M,2024-12-17,00:01,Foggia,FG,Brindisi,BR,2024-12-16,17,Marted ,Dicembre,Notte (00:00 - 05:59)
602,M,2024-12-18,13:23,Foggia,FG,Rodi Garganico,FG,2024-12-16,18,Mercoled ,Dicembre,Pomeriggio (12:00 - 17:59)
603,F,2024-12-18,19:31,Foggia,FG,Manfredonia,FG,2024-12-16,18,Mercoled ,Dicembre,Sera (18:00 - 23:59)
604,M,2024-12-20,00:42,Foggia,FG,Accadia,FG,2024-12-16,20,Venerd ,Dicembre,Notte (00:00 - 05:59)
605,F,2024-12-20,23:40,Foggia,FG,Orta Nova,FG,2024-12-16,20,Venerd ,Dicembre,Sera (18:00 - 23:59)
606,M,2024-12-20,12:48,Foggia,FG,Stornara,FG,2024-12-18,20,Venerd ,Dicembre,Pomeriggio (12:00 - 17:59)
607,F,2024-12-22,09:36,Foggia,FG,Non Disponibile,Non Disponibile,2024-12-19,22,Domenica,Dicembre,Mattina (06:00 - 11:59)
608,M,2024-12-22,12:07,Foggia,FG,Lucera,FG,2024-12-19,22,Domenica,Dicembre,Pomeriggio (12:00 - 17:59)
609,F,2024-12-23,05:26,Foggia,FG,Manfredonia,FG,2024-12-19,23,Luned ,Dicembre,Notte (00:00 - 05:59)
610,F,2024-12-22,19:52,Foggia,FG,Vieste,FG,2024-12-20,22,Domenica,Dicembre,Sera (18:00 - 23:59)
611,F,2024-12-21,21:43,Foggia,FG,Non Disponibile,Non Disponibile,2024-12-20,21,Sabato,Dicembre,Sera (18:00 - 23:59)
612,M,2024-12-23,12:13,Foggia,FG,San Giovanni Rotondo,FG,2024-12-20,23,Luned ,Dicembre,Pomeriggio (12:00 - 17:59)
613,M,2024-12-23,18:10,Foggia,FG, Lucera,FG,2024-12-23,23,Luned ,Dicembre,Sera (18:00 - 23:59)
614,F,2024-12-21,10:28,Foggia,FG,Troia,FG,2024-12-23,21,Sabato,Dicembre,Mattina (06:00 - 11:59)
615,F,2024-12-25,18:44,Foggia,FG,Macedonia,MK,2024-12-23,25,Mercoled ,Dicembre,Sera (18:00 - 23:59)
616,F,2024-12-25,05:04,Foggia,FG,Apricena,FG,2024-12-23,25,Mercoled ,Dicembre,Notte (00:00 - 05:59)
617,M,2024-12-26,23:21,Foggia,FG,Manfredonia,FG,2024-12-23,26,Gioved ,Dicembre,Sera (18:00 - 23:59)
618,M,2024-12-26,19:26,Foggia,FG,Manfredonia,FG,2024-12-23,26,Gioved ,Dicembre,Sera (18:00 - 23:59)
619,F,2024-12-26,08:34,Foggia,FG,Celenza Valfortore,FG,2024-12-24,26,Gioved ,Dicembre,Mattina (06:00 - 11:59)
620,M,2024-12-29,13:35,Foggia,FG,Orta Nova,FG,2024-12-24,29,Domenica,Dicembre,Pomeriggio (12:00 - 17:59)
621,F,2024-12-24,11:11,Foggia,FG,San Marco In Lamis,FG,2024-12-24,24,Marted ,Dicembre,Mattina (06:00 - 11:59)
622,F,2024-12-28,12:00,Foggia,FG, Lucera,FG,2024-12-24,28,Sabato,Dicembre,Pomeriggio (12:00 - 17:59)
623,M,2024-12-28,06:56,Foggia,FG,Manfredonia,FG,2024-12-27,28,Sabato,Dicembre,Mattina (06:00 - 11:59)
624,F,2024-12-29,04:13,Foggia,FG,Stornarella,FG,2024-12-27,29,Domenica,Dicembre,Notte (00:00 - 05:59)
625,F,2024-12-28,03:12,Foggia,FG,Stornarella,FG,2024-12-27,28,Sabato,Dicembre,Notte (00:00 - 05:59)
626,M,2024-12-27,11:32,Foggia,FG,Lucera,FG,2024-12-27,27,Venerd ,Dicembre,Mattina (06:00 - 11:59)
627,M,2024-12-28,09:26,Foggia,FG,Sannicandro Garganico,FG,2024-12-27,28,Sabato,Dicembre,Mattina (06:00 - 11:59)
628,F,2024-12-29,07:10,Foggia,FG, Lucera,FG,2024-12-30,29,Domenica,Dicembre,Mattina (06:00 - 11:59)
629,M,2024-12-29,23:51,Foggia,FG,Canosa Di Puglia,BT,2024-12-30,29,Domenica,Dicembre,Sera (18:00 - 23:59)
630,M,2024-12-29,16:07,Foggia,FG,San Paolo Di Civitate,FG,2024-12-30,29,Domenica,Dicembre,Pomeriggio (12:00 - 17:59)
631,F,2024-03-24,17:42,Parigi,DE,Ascoli Satriano,FG,2025-01-02,24,Domenica,Marzo,Pomeriggio (12:00 - 17:59)
632,F,2024-05-12,Orario Non Disponibile,Bielefeld,DE,Vico Del Gargano,FG,2024-01-05,12,Domenica,Maggio,Non Disponibile
633,M,2024-10-19,Orario Non Disponibile,Rostock,FR,Non Disponibile,Non Disponibile,2025-01-16,19,Sabato,Ottobre,Non Disponibile
634,F,2024-08-07,14:48,Madrid,ES,Apricena,FG,2024-12-31,7,Mercoled ,Agosto,Pomeriggio (12:00 - 17:59)
635,F,2024-03-06,Orario Non Disponibile,Foggia,FG,Non Disponibile,Non Disponibile,2024-12-30,6,Mercoled ,Marzo,Non Disponibile
